example_id                                                                                                             | status  | run_time        |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:8:1]                            | passed  | 0.00106 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:8:2]                            | passed  | 0.00129 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:8:3]                            | passed  | 0.00313 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:8:4]                            | passed  | 0.00134 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:8:5]                            | passed  | 0.0012 seconds  |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:8:6]                            | passed  | 0.00106 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:9:1]                            | passed  | 0.00123 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:9:2]                            | passed  | 0.00111 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:10:1]                           | passed  | 0.00163 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:10:2]                           | passed  | 0.00125 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:10:3]                           | passed  | 0.0011 seconds  |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:11:1]                           | passed  | 0.00104 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:11:2]                           | passed  | 0.00109 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/filter_form_component_spec.rb[1:12:1]                           | passed  | 0.0024 seconds  |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:1:1]                            | passed  | 0.00276 seconds |
./engines/immo_promo/spec/components/immo/promo/shared/header_card_component_spec.rb[1:1:2]                            | passed  | 0.00102 seconds |
